Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Aundi BO-BPM-OBC",70081814,"BPM",,"Aundi BO","Ballia Division"
2,"Babubel BO-ABPM-OBC",30673355,"ABPM",,"Babubel BO","Ballia Division"
3,"Babubel BO-ABPM-OBC",70105423,"ABPM",,"Babubel BO","Ballia Division"
4,"Bharsar SO-Daksevak-UR",30673525,"Daksevak",,"Bharsar SO","Ballia Division"
5,"Bhojchapra BO-ABPM-OBC",30500524,"ABPM",,"Bhojchapra BO","Ballia Division"
6,"Budhuan BO-ABPM-OBC",30500707,"ABPM",,"Budhuan BO","Ballia Division"
7,"Chandadih BO-ABPM-UR",30500237,"ABPM",,"Chandadih BO","Ballia Division"
8,"Chhotaki Seriya BO-ABPM-OBC",30673368,"ABPM",,"Chhotaki Seriya BO","Ballia Division"
9,"Daulatpur BO-BPM-OBC",30673460,"BPM",,"Daulatpur BO","Ballia Division"
10,"Dihwa BO-ABPM-UR",30500255,"ABPM",,"Dihwa BO","Ballia Division"
11,"Gopalnagar BO-ABPM-OBC",30500751,"ABPM",,"Gopalnagar BO","Ballia Division"
12,"Jharkataha BO-ABPM-UR",30500358,"ABPM",,"Jharkataha BO","Ballia Division"
13,"Jigirasand BO-ABPM-UR",30673392,"ABPM",,"Jigirasand BO","Ballia Division"
14,"Jiutpura BO-ABPM-UR",30500248,"ABPM",,"Jiutpura BO","Ballia Division"
15,"Karnai BO-ABPM-OBC",30500723,"ABPM",,"Karnai BO","Ballia Division"
16,"Kathaura BO-ABPM-OBC",30500455,"ABPM",,"Kathaura BO","Ballia Division"
17,"Khejuri BO-ABPM-OBC",30673402,"ABPM",,"Khejuri BO","Ballia Division"
18,"Kodai BO-ABPM-UR",30500715,"ABPM",,"Kodai BO","Ballia Division"
19,"Kotwa Narayenpur BO-ABPM-OBC",30500748,"ABPM",,"Kotwa Narayenpur BO","Ballia Division"
20,"Malapharsenpur BO-BPM-OBC",30500282,"BPM",,"Malapharsenpur BO","Ballia Division"
21,"Mundera BO-ABPM-UR",30500428,"ABPM",,"Mundera BO","Ballia Division"
22,"Muradih BO-ABPM-UR",30500466,"ABPM",,"Muradih BO","Ballia Division"
23,"Naraon BO-BPM-OBC",30500580,"BPM",,"Naraon BO","Ballia Division"
24,"Piyaraunta BO-ABPM-UR",30500401,"ABPM",,"Piyaraunta BO","Ballia Division"
25,"Puras BO-ABPM-UR",30673449,"ABPM",,"Puras BO","Ballia Division"
26,"Ram Nagar BO-ABPM-OBC",30673424,"ABPM",,"Ram Nagar BO","Ballia Division"
27,"Rampur BO-ABPM-OBC",30673419,"ABPM",,"Rampur BO","Ballia Division"
28,"Rohuan BO-ABPM-OBC",30673426,"ABPM",,"Rohuan BO","Ballia Division"
29,"Rudrawar BO-ABPM-UR",30500327,"ABPM",,"Rudrawar BO","Ballia Division"
30,"Sultanpur BO-ABPM-OBC",30500287,"ABPM",,"Sultanpur BO","Ballia Division"
31,"Suryabhanpur BO-ABPM-OBC",30500643,"ABPM",,"Suryabhanpur BO","Ballia Division"
32,"Tikadeori BO-BPM-OBC",30500591,"BPM",,"Tikadeori BO","Ballia Division"
